ProductId,ItemDescription,UnitOfMeasure,UnitsPerCase,SellableUnitsPerCase,QuantityOrdered,QuantityFilled,QuantityOut,Price,Discount,Deposit,ExtendedDeposit,ExtendedPrice,RetailerUPC,PackageUPC,UnitUPC
24275,ATHLETIC RUN WILD IPA C-4/6 12OZ,case,24,4,1,1,0,33.50,.00,1.20,1.20,34.70,855352008057,855352008057,855352008057
68223,BEST DAY BREWING ELECTRO-LIME CERVEZA C-4/6 12OZ,case,24,4,1,1,0,33.50,.00,1.20,1.20,34.70,860010782712,0,860010782705
61015,MAINE BEER LUNCH K-15.5 GAL HB,case,1,1,1,1,0,340.00,.00,50.00,50.00,390.00,0,0,0
