ProductId,ItemDescription,UnitOfMeasure,UnitsPerCase,SellableUnitsPerCase,QuantityOrdered,QuantityFilled,QuantityOut,Price,Discount,Deposit,ExtendedDeposit,ExtendedPrice,RetailerUPC,PackageUPC,UnitUPC
58775,Carlson Orchards  Cider Barn Select 5.17 gal Keg,keg,1,1,1,1,0,96.00,.00,30.00,30.00,126.00,0,0,0
15548,Coors Light 24 Pack (12 oz Bottles),case,24,1,2,2,0,28.00,.00,1.20,2.40,58.40,71990300074,71990300074,7199042
44971,Devil's Purse Handline Kolsch 15.5 gal Keg,keg,1,0,1,1,0,186.00,.00,30.00,30.00,216.00,0,0,0
10691,Miller High Life 15.5 gal Keg,keg,1,1,2,2,0,110.00,27.00,30.00,60.00,226.00,34100011529,34100011529,0
10091,Miller Lite 15.5 gal Keg,keg,1,1,1,1,0,127.00,.00,30.00,30.00,157.00,34100005344,34100005344,0
10048,Miller Lite 24 Pack (12 oz Bottles),case,24,1,1,1,0,28.00,.00,1.20,1.20,29.20,3436219,34100572150,3436219
99513,"RETURNS 1/2,1/4,&1/6",case,1,0,-4,-4,0,.00,.00,30.00,-120.00,-120.00,0,0,0
46782,Two Roads Cruise Control 15.5 gal Keg,keg,1,0,1,1,0,125.00,.00,30.00,30.00,155.00,0,0,0
38802,White Claw Black Cherry 24 Pack (12 oz Cans),case,24,1,1,1,0,32.80,.00,1.20,1.20,34.00,635985200253,635985200413,635985500018
