ProductId,ItemDescription,UnitOfMeasure,UnitsPerCase,SellableUnitsPerCase,QuantityOrdered,QuantityFilled,QuantityOut,Price,Discount,Deposit,ExtendedDeposit,ExtendedPrice,RetailerUPC,PackageUPC,UnitUPC
68223,BEST DAY BREWING ELECTRO-LIME CERVEZA C-4/6 12OZ,case,24,4,1,1,0,33.50,.00,1.20,1.20,34.70,860010782712,0,860010782705
15750,DOWNEAST CIDER ORIGINAL BLEND C-6/4 12OZ,case,24,6,1,1,0,51.00,.00,.00,0.00,51.00,858612003311,858612003311,858612003052
14320,GUINNESS DRAUGHT K-50 LITER HB,case,1,1,1,1,0,180.00,.00,50.00,50.00,230.00,83820291001,83820121322,0
