ProductId,ItemDescription,UnitOfMeasure,UnitsPerCase,SellableUnitsPerCase,QuantityOrdered,QuantityFilled,QuantityOut,Price,Discount,Deposit,ExtendedDeposit,ExtendedPrice,RetailerUPC,PackageUPC,UnitUPC
10691,Miller High Life 15.5 gal Keg,keg,1,1,2,2,0,110.00,27.00,30.00,60.00,226.00,34100011529,34100011529,0
10088,Miller Lite 7.75 gal Keg,keg,1,1,1,1,0,76.00,.00,30.00,30.00,106.00,3453315,3453315,3453315
99513,"RETURNS 1/2,1/4,&1/6",case,1,0,-3,-3,0,.00,.00,30.00,-90.00,-90.00,0,0,0
80304,Surfside Iced Tea & Lemonade + Vodka 24 Pack (12 oz Cans),case,24,1,2,2,0,45.00,.00,.00,0.00,90.00,850025605540,10850025605547,0
38802,White Claw Black Cherry 24 Pack (12 oz Cans),case,24,1,2,2,0,32.80,.00,1.20,2.40,68.00,635985200253,635985200413,635985500018
