ProductId,ItemDescription,UnitOfMeasure,UnitsPerCase,SellableUnitsPerCase,QuantityOrdered,QuantityFilled,QuantityOut,Price,Discount,Deposit,ExtendedDeposit,ExtendedPrice,RetailerUPC,PackageUPC,UnitUPC
24275,ATHLETIC RUN WILD IPA C-4/6 12OZ,case,24,4,1,1,0,33.50,.00,1.20,1.20,34.70,855352008057,855352008057,855352008057
73071,CAPE COD BEER BLONDE K-5.16 GAL SB,case,1,1,1,1,0,85.00,.00,50.00,50.00,135.00,0,0,0
13802,FIDDLEHEAD IPA K-50 LITER HB,case,1,1,1,1,0,165.00,.00,50.00,50.00,215.00,0,0,0
17520,KONA BIG WAVE GOLDEN ALE K-15.5 GAL HB,case,1,1,1,1,0,185.00,.00,50.00,50.00,235.00,0,0,796030514968
