ProductId,ItemDescription,UnitOfMeasure,UnitsPerCase,SellableUnitsPerCase,QuantityOrdered,QuantityFilled,QuantityOut,Price,Discount,Deposit,ExtendedDeposit,ExtendedPrice,RetailerUPC,PackageUPC,UnitUPC
58775,Carlson Orchards  Cider Barn Select 5.17 gal Keg,keg,1,1,2,2,0,96.00,.00,30.00,60.00,252.00,0,0,0
15548,Coors Light 24 Pack (12 oz Bottles),case,24,1,2,2,0,28.00,.00,1.20,2.40,58.40,71990300074,71990300074,7199042
10691,Miller High Life 15.5 gal Keg,keg,1,1,3,3,0,110.00,27.00,30.00,90.00,339.00,34100011529,34100011529,0
22823,Narragansett Lager 24 Pack (16 oz Cans),case,24,1,2,2,0,27.30,.00,1.20,2.40,57.00,72130550014,0,72130550014
99513,"RETURNS 1/2,1/4,&1/6",case,1,0,-7,-7,0,.00,.00,30.00,-210.00,-210.00,0,0,0
46782,Two Roads Cruise Control 15.5 gal Keg,keg,1,0,1,1,0,125.00,.00,30.00,30.00,155.00,0,0,0
