Customer OpCo,Customer #,Customer Name,Address,City,State,Zip Code,Invoice Date,Invoice Number,Invoice Order Number,Invoice Type,PO Number,Route Number,Route Stop Number,Invoice Subtotal,Invoice Discount,Invoice Charges Fees,Invoice Total Tax,Invoice Total,Total Qty Ordered,Total Qty Shipped,Vendor #,Manufacturer Name,Manufacturer Product #,Category/Class,GTIN,Product #,Custom Product Number,Product Description,Custom Product Description,Brand,Pack Size,UOM,Printed Sequence,Net Price,Qty Ordered,Qty Shipped,Weight,Unit Price,Ext. Price
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,4858,Aladdin Bakers *,337801,Bakery Frozen,00806795426458,CP912,,Tortilla Flour Plain 12" Grilled Grillmarked,,Piancone,6/12 Cnt,CS,1,25.77,1,1,,25.77,25.77
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,3998,Ruby - Northeast Produce,878065,Produce,00806795025576,FD254,,Tomato 5X6 Fresh,,Peak Fresh Produce,1/25 Lb,CS,2,46.83,1,1,,46.83,46.83
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,3998,Ruby - Northeast Produce,,Produce,00806795502534,FT516,,Cucumber European Fresh,,Peak Fresh Produce,1/12 Cnt,CS,3,23.37,1,1,,23.37,23.37
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,3025,Roland Foods,70150,Imports,10041224701509,68469,,Paste Sesame Tahini,,Roland,1/16 Oz,EA,4,8.37,1,1,,8.37,8.37
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,2648,Ok Foods,33060,Poultry,10721952330607,NT696,,Chicken Tender Fritter Golden Ready To Cook 2.7 Ounce Frozen,,Ok Foods,2/5 Lb,CS,5,38.56,2,2,,38.56,77.12
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,5652,Koch Foods Of Miss Fz,1249,Poultry,00695767012498,M9022,,Chicken Breast Fillet Breaded Seasoned Average 6 Ounce Prebrowned Frozen,,Koch Foods,2/5 Lb,CS,6,46.59,1,1,,46.59,46.59
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,1605,Wayne Farms Foodsrvc,15138,Poultry,10038483259087,ABK40,,Chicken Wing Split Steamed Fully Cooked Frozen,,Fly N Saucers,6/5 Lb,CS,8,138.33,1,1,,138.33,138.33
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,4629,Harbar *,11403023,Bakery Frozen,10035305000667,HW052,,Chip Tortilla Corn Yellow Triangle 4-Cut Frozen,,Mayan Farm,1/24 Lb,CS,9,34.17,1,1,,34.17,34.17
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,3981,Ruby - M Cutone Mushroom,85031,Produce,,AG050,,Mushroom Sliced 2-5Lb Bucket Fresh,,Packer,2/5 Lb,CS,10,23.51,1,1,,23.51,23.51
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,4097,Ruby - West Coast Buy,100533 PK,Produce,10806795418719,NH688,,Lettuce Romaine Hearts Fresh,,Peak Fresh Produce,12/3 Cnt,CS,11,44.39,1,1,,44.39,44.39
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,4097,Ruby - West Coast Buy,12963,Produce,,M3590,,Brussels Sprouts Halves Clean Trimmed Fresh,,Packer,4/5 Lb,CS,12,60.74,1,1,,60.74,60.74
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/25/2026,728430,,Invoice,,3709,050,536.69,,0.00,0.00,536.69,12,12,1233,Miscellaneous Vendor,,ZZZ_Non-Items,,F4794,,Fuel Surcharge,,Packer,1/1 Cnt,CS,13,7.50,1,1,,7.50,7.50
