Customer OpCo,Customer #,Customer Name,Address,City,State,Zip Code,Invoice Date,Invoice Number,Invoice Order Number,Invoice Type,PO Number,Route Number,Route Stop Number,Invoice Subtotal,Invoice Discount,Invoice Charges Fees,Invoice Total Tax,Invoice Total,Total Qty Ordered,Total Qty Shipped,Vendor #,Manufacturer Name,Manufacturer Product #,Category/Class,GTIN,Product #,Custom Product Number,Product Description,Custom Product Description,Brand,Pack Size,UOM,Printed Sequence,Net Price,Qty Ordered,Qty Shipped,Weight,Unit Price,Ext. Price
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,7575,Megamex Foods,61839,Commodity Grocery,10806795294856,DV818,,Salsa Mild Thick And Chunky Jug,,Contigo,4/136 Oz,CS,1,80.36,1,1,,80.36,80.36
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,4242,Ipap - Essity Professiona,KRT30A,Disposables,50601999992984,DR980,,Towel Roll 2 Ply Paper Kitchen 11X9 White Individually Wrapped,,Affex,30/84Cnt,CS,2,38.79,1,1,,38.79,38.79
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,2810,Procter & Gamble Dist,M30472,Disposables,20310819008659,MM130,,Wipe Sanitizer No Rinse Table Turner Multi-Surface,,Sani Professional,12/72Cnt,CS,3,64.26,1,1,,64.26,64.26
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,9521,R3/Bunzl New England-Cons,23642PAK,Disposables,30822486236428,LK618,,Cup Plastic Souffle 2 Ounce Black    Polystyrene,,Propak,10/250,CS,5,51.39,1,1,,51.39,51.39
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,1605,Wayne Farms Foodsrvc,15138,Poultry,10038483259087,ABK40,,Chicken Wing Split Steamed Fully Cooked Frozen,,Fly N Saucers,6/5 Lb,CS,6,138.33,1,1,,138.33,138.33
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,2648,Ok Foods,33060,Poultry,10721952330607,NT696,,Chicken Tender Fritter Golden Ready To Cook 2.7 Ounce Frozen,,Ok Foods,2/5 Lb,CS,7,38.56,3,3,,38.56,115.68
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,5652,Koch Foods Of Miss Fz,1249,Poultry,00695767012498,M9022,,Chicken Breast Fillet Breaded Seasoned Average 6 Ounce Prebrowned Frozen,,Koch Foods,2/5 Lb,CS,8,46.59,2,2,,46.59,93.18
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,4629,Harbar *,11403023,Bakery Frozen,10035305000667,HW052,,Chip Tortilla Corn Yellow Triangle 4-Cut Frozen,,Mayan Farm,1/24 Lb,CS,10,34.17,1,1,,34.17,34.17
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,6377,Zf America,,Seafood,00815261012361,WD830,,COD Fillet 10-12 Ounce Individually Quick Frozen Longline Atlantic Frozen,,Ocean Majestic,1/10 Lb,CS,11,80.78,3,3,,80.78,242.34
RFS Boston,09736,Red Nun Bar & Grill Chat,746 Main St,Chatham,MA,02633,3/18/2026,720770,,Invoice,,3709,030,1167.22,,0.00,9.65,1176.87,18,18,3859,Ruby - Calavo Growers,22614,Produce,70016563226145,22614,,Avocado Hass #2 Ripe Fresh,,Good Roots Produce,1/48 Cnt,CS,12,36.09,1,1,,36.09,36.09
